username	age	score	summary	review
dr_nash_9966	32.0	9.1	"""Note: Fugiat aperiam	 then Aperiam sapiente exercitationem vel"""	"""In: Quod	 Vitae"""
ms_adams_2841	20.0	42.1	"""(Illum esse occaecati) 	 Quae reprehenderit nulla est and Quo occaecati"""	"""Commodi quibusdam	 Odio perspiciatis quisquam Ex"""
barbara_bartlett_2968	95.0	35.1	"""Laudantium quasi laudantium sunt temporibus minima: Enim eligendi	 Odio minus suscipit repudiandae tenetur"""	"""Ipsam repellat	 Ratione nemo Dolorem autem"""
dr_lewis_2532	52.0	90.1	"""Repellat nesciunt nisi ipsum minus consequuntur: Consequatur exercitationem praesentium nemo quis	 Officiis"""	"""Note: Nesciunt	 then Illo dignissimos pariatur"""
cameron_ahmed_8492	71.0	56.1	"""Note: Tenetur voluptatibus	 then Quisquam"""	"""Optio delectus voluptatem; Quasi consequuntur at 	 Explicabo"""
fiona_harrison_9020	4.0	100.1	"""Error tempore	 Quidem quaerat Tempore eaque quod"""	"""Quia ut	 Suscipit commodi ut expedita Cum laboriosam labore"""
megan_bibi_3867	81.0	35.1	"""Note: Omnis laudantium quod	 then Similique officiis distinctio blanditiis accusamus velit"""	"""Note: Facere aliquam totam	 then Fugit sit quasi cum"""
jacqueline_roberts_2701	93.0	72.1	"""Recusandae minus fuga; Corporis 	 Repudiandae incidunt"""	"""Perferendis esse quas a illo voluptatem: Natus	 Commodi saepe fuga"""
vanessa_charlton_8309	11.0	75.1	"""(Maiores fuga optio omnis) 	 Aliquam nam and Aspernatur consectetur"""	"""Voluptatum: Sit sequi	 Tempora ipsum ex corrupti"""
dr_townsend_1300	54.0	79.1	"""(Nam architecto laboriosam) 	 Mollitia itaque and Rem accusantium veritatis autem cum"""	"""Dolores vitae; Eaque hic repellat 	 Eius"""
dale_marshall_5608	28.0	24.1	"""Unde repudiandae aperiam velit ducimus saepe: Hic magnam consectetur voluptatibus	 Veniam excepturi"""	"""Eligendi natus	 Porro Ex"""
elliott_saunders_7934	18.0	79.1	"""Numquam	 Accusantium nostrum praesentium ipsam reprehenderit rerum Nulla"""	"""Note: Quia modi doloribus	 then Magnam earum dicta"""
dorothy_lamb_7187	86.0	23.1	"""Nisi eius quas	 Iure doloremque Commodi repellat"""	"""Note: Maxime architecto tempore	 then Neque sapiente explicabo explicabo dolores consequatur"""
dr_ahmed_5265	77.0	57.1	"""Velit mollitia	 Pariatur molestias porro voluptatem Possimus"""	"""Neque consequuntur qui odio: Ea eaque	 Facere vero numquam"""
natasha_hall_7733	24.0	28.1	"""Tempore qui	 Nobis enim fugiat eum numquam Laboriosam sint"""	"""Quo aspernatur esse; Delectus non distinctio 	 Omnis natus error"""
mr_robinson_6830	34.0	63.1	"""Note: Ad	 then Tempore"""	"""Sit culpa: Accusamus rerum	 Aliquam"""
