username;price;score;salary;description
ms_akhtar_9167;5.0;20.1;92.2;"""(Perspiciatis quam) ; Sapiente temporibus temporibus and Voluptatibus laudantium"""
garry_jackson_0142;74.0;97.1;9.2;"""Sint voluptatum vero nobis quos; Cumque deserunt explicabo quam accusamus Rerum iusto porro"""
leslie_kaur_0547;62.0;97.1;47.2;"""Cum maxime eum; Error facilis enim dolor velit officia ; Unde expedita expedita"""
ms_ryan_2915;7.0;53.1;49.2;"""(Ad) ; Velit eos and Id veniam itaque aspernatur"""
mr_lee_8489;22.0;68.1;60.2;"""Note: Assumenda quidem distinctio esse; then Distinctio ex"""
michelle_sutton_6776;58.0;49.1;99.2;"""Note: Expedita est; then Ipsam culpa laboriosam"""
yvonne_thomas_7346;70.0;28.1;26.2;"""Perspiciatis blanditiis; Nemo nobis Aliquid provident quod iusto odit"""
mrs_perkins_0365;79.0;41.1;84.2;"""Quis; Officia perferendis ; Explicabo illum"""
natalie_green_3736;91.0;78.1;6.2;"""(Ipsa voluptatum) ; Eaque architecto saepe and Aut aspernatur quam eaque"""
carolyn_wade_2162;69.0;24.1;11.2;"""Nam non recusandae; Officia harum ; Voluptas"""
mr_dunn_5137;28.0;40.1;88.2;"""Repellat praesentium eum labore delectus non; Qui Deserunt voluptatum repudiandae"""
susan_lewis_6753;;100.1;10.2;"""(Veniam libero dolor) ; Vel corporis expedita ratione provident nesciunt and Porro cupiditate temporibus similique molestiae"""
ms_stephens_4849;50.0;65.1;80.2;"""Note: Eaque; then Exercitationem mollitia"""
mr_vaughan_5923;47.0;76.1;98.2;"""(Pariatur nulla eligendi quia perferendis) ; Odit and Similique ex"""
miss_burrows_1978;56.0;41.1;36.2;"""Distinctio fugiat illo; Dolor officia ; Eius explicabo"""
mrs_dale_5686;100.0;72.1;43.2;"""(Fuga nisi nesciunt nemo aliquid) ; Velit culpa and Occaecati quibusdam nobis"""
raymond_brown_4920;54.0;42.1;66.2;"""Dolorum: Unde iure laboriosam; Occaecati illum illum"""
glenn_parsons_9879;39.0;87.1;41.2;"""Et dolore: Sapiente hic quis; Veritatis commodi"""
