username;salary;price;total_count;summary;description
elizabeth_dixon_8990;49.0;6.1;91.2;"""Quae voluptatibus fugit numquam; Cumque repudiandae deleniti cupiditate ; Quos accusamus eveniet sed laudantium""";"""Sint iste molestiae cumque officiis; Neque dolorem sint earum praesentium ; Quis fuga sapiente sequi"""
mr_mitchell_7776;94.0;33.1;47.2;"""Note: Doloremque aperiam quisquam; then Corporis nemo corrupti""";"""Quaerat; Quas voluptates vel Officia placeat optio"""
mr_bradley_0682;44.0;45.1;24.2;"""Ipsa corporis: Repudiandae voluptate iure aspernatur; Unde aut""";"""Quae quos: Quod voluptatum vel vel; Eius iste quibusdam voluptates"""
mary_walsh_9832;30.0;17.1;30.2;"""(Aut eum) ; Rem repudiandae and Sint natus""";"""Tenetur dolorem: Placeat vitae; Molestias laborum aliquam alias ad"""
carolyn_wilson_0852;63.0;95.1;68.2;"""Note: Deserunt dolores; then Repellat fugiat""";"""Nihil enim aliquid: Facilis nihil assumenda; Iusto quia modi"""
dr_parker_8998;60.0;39.1;37.2;"""Note: Eos vero culpa repellendus; then A ipsam doloremque soluta suscipit""";"""(Laboriosam repellat tempora) ; Nihil and Cumque deserunt assumenda"""
diana_holt_2944;80.0;3.1;65.2;"""Est nemo; Veniam Aliquid""";"""Note: Incidunt adipisci illum doloribus neque; then Necessitatibus architecto"""
jeremy_jackson_7956;63.0;44.1;13.2;"""Qui id deleniti quo; Ea voluptatibus Aspernatur rem voluptas voluptates""";"""Cumque dolor ex laboriosam; Unde nam quaerat neque Dolores blanditiis magnam vero alias ad"""
nicole_johnson_1137;46.0;70.1;96.2;"""(Aperiam) ; Mollitia corporis provident explicabo reiciendis and Nihil laborum quo""";"""Corporis laborum corporis quasi sequi; Quos Accusantium odio"""
ms_turner_4673;3.0;94.1;63.2;"""Tempora; Recusandae cum eos similique iure ipsum Iusto""";"""Note: Ipsa iusto a; then Similique consequatur necessitatibus repellendus magni"""
charlene_holt_4507;83.0;94.1;12.2;"""Dicta optio possimus consequatur; Illo Soluta sunt""";"""Maxime amet; Magni ullam officia itaque ; Totam aliquam ullam"""
grace_west_2136;32.0;87.1;5.2;"""Cum molestias est ducimus: Neque voluptatum; Vel""";"""Note: Nihil laborum; then Quibusdam illum"""
mr_quinn_9307;19.0;47.1;82.2;"""Eaque veniam sunt velit distinctio: Est tempore; Possimus""";"""Note: Optio culpa; then Ab eos autem"""
charlotte_hall_7454;57.0;93.1;96.2;"""Note: Sed provident assumenda adipisci; then Commodi""";"""Note: Assumenda exercitationem dolorem ex; then Ad distinctio"""
andrea_preston_3399;62.0;40.1;66.2;"""Voluptatem velit modi; Non est ; Maxime et fuga eaque""";"""(Earum corporis) ; Voluptates sapiente recusandae and Quam rem illum repudiandae"""
guy_white_0494;8.0;28.1;96.2;"""Note: Dolore numquam fuga; then Itaque in enim dicta""";"""Iste nostrum: Fugit; Quod officia maiores"""
dr_payne_9952;;92.1;23.2;"""Note: Impedit quisquam consectetur officiis; then Natus perferendis in""";"""Iste ab placeat; Magni voluptatum Beatae minus"""
mr_alexander_2885;16.0;72.1;22.2;"""Libero corrupti odio et; Maxime consequuntur Ad perferendis""";"""Expedita nam mollitia aspernatur; Cupiditate corporis tenetur ; Quasi"""
anthony_shaw_5558;74.0;79.1;48.2;"""(Provident deserunt a voluptas cupiditate) ; Unde and Perferendis alias""";"""Quos quos consequuntur vitae; Accusamus ; Ducimus eveniet"""
ms_connor_7442;41.0;23.1;93.2;"""(Non hic et architecto consectetur) ; Assumenda odit exercitationem and Recusandae dignissimos""";"""In nihil sunt quia; Inventore odit animi ut molestias ; Ullam pariatur"""
kim_french_1959;89.0;;26.2;"""Placeat inventore ad ipsum minima mollitia; Ab odit expedita ; Vel nam numquam ducimus""";"""Note: Sit non delectus; then Velit aperiam quis autem"""
