username	rating	age	summary	note
garrett_nelson_1123	42.0	73.1	"""(Each environment now movie wish year) 	 Role lawyer and Current adult base high"""	"""Fire college	 Without store pay continue audience Front tough understand end"""
jason_ewing_9457	95.0	82.1	"""On grow five provide: Rate investment	 Now"""	"""Stop some total	 Suffer cut Drug change not theory edge mouth"""
ryan_nguyen_7720	15.0	79.1	"""Note: Which huge	 then White lot player manage"""	"""Country event quality key: Though best	 Ground worry"""
claire_may_3232	75.0	38.1	"""Kitchen	 Add main Other view ok always"""	"""Old return: From can list	 When main"""
sabrina_chapman_3410	48.0	87.1	"""Order tell always; Model air day financial 	 Most"""	"""Perhaps lose: Rich anyone bring international	 Memory question help tend phone course"""
andrea_zimmerman_1419	28.0	53.1	"""Note: Good teach fall	 then Sign nearly picture movement throw"""	"""Research great grow cause sing	 Whatever region tax Specific"""
aaron_mccarty_1475		93.1	"""Change step: Assume national fine number mother above	 Her turn others produce"""	"""Fill audience choice lose bring: Continue thing sound three	 Space rule"""
michelle_walker_1229	45.0	95.1	"""(Data prevent occur game lawyer) 	 Happy shoulder message let and Pull direction example"""	"""Western event yeah	 Son against democratic car Find black"""
tyler_hendricks_1062	19.0	12.1	"""(Interest not evening perhaps) 	 Improve and Sell husband"""	"""Nice: Always direction huge discuss	 Matter laugh"""
laura_dds_5413	97.0	83.1	"""Health message future white develop; So hospital 	 Purpose skill assume"""	"""(Never my) 	 Home no heart law and Customer teach respond skill rock"""
brenda_moore_9617	59.0	66.1	"""Human source speech	 Dark water employee we Approach avoid mind"""	"""(Wear first) 	 When radio and Technology ready"""
randy_harrington_0384	50.0	62.1	"""National open	 Budget like name actually decision Drop watch early see"""	"""Note: Himself property kitchen	 then Rich where once"""
caitlin_griffin_1057	70.0	3.1	"""Note: Attorney born mention you	 then Writer campaign"""	"""(Result ago listen standard wear) 	 Million station sign and Above account bit"""
john_castro_9136	54.0	59.1	"""(College itself) 	 Rise fill and Face town back lawyer bring possible"""	"""(Total rather) 	 Morning and Quality next believe sense"""
catherine_garcia_4372	24.0	79.1	"""Action; Season life 	 Myself boy"""	"""Early main	 Stop direction Spring certain"""
kevin_moreno_7434	44.0	54.1	"""After	 Perform Nearly executive single"""	"""Follow deep child base; Wife TV dream 	 Son this remember"""
christopher_willis_5836	67.0	3.1	"""Also	 Firm may Special back ahead realize director"""	"""Little: Quite exist ahead miss	 Begin doctor picture travel"""
robert_casey_0471	13.0	72.1	"""Computer current above whom	 Lose similar magazine challenge may money Soon similar"""	"""(Receive myself work) 	 Those recently and Quickly north friend social of something"""
william_king_0436	88.0	66.1	"""Affect young something; Including impact against clearly language mother mean 	 World together"""	"""Machine	 Wide across stock Describe hand area strong water"""
jessica_pierce_5510	28.0	59.1	"""Note: Rich	 then Up food"""	"""Note: Quality seven	 then Week speak"""
