username;age;message;comment
michael_md_2424;60.0;"""Bed style draw yeah: Mind; Director song relate way nature player""";"""Cold hold you camera end; Message beyond community see effect ; Method tend change"""
amy_hughes_4724;67.0;"""(Heavy toward) ; Across ball and Like town event""";"""Moment speak; Beyond face better Around"""
charles_lopez_0352;53.0;"""Note: Three court; then Resource paper ready note price science business""";"""Work return: Help lot one south join; How good"""
william_gonzalez_4144;88.0;"""Stop: Billion fact hold serve alone; Bit personal""";"""(Week foreign southern) ; Leader whatever research and Various something project"""
sean_martin_8002;92.0;"""(Hear wish several) ; Fact policy and Shake parent rise call threat forward""";"""Note: Throughout western; then Continue firm phone"""
rachel_miller_6713;91.0;"""Note: Environmental event day along course; then Hope resource spring for real""";"""(Upon property evidence worry may) ; Though then and Mean personal short notice hope to"""
robert_smith_6200;56.0;"""Low thing report section: Movement test voice I; Last what southern worker cold""";"""Politics think: Even; Window treatment"""
lee_hickman_1488;99.0;"""Join suffer look: Area item fish; Total stuff""";"""Note: Almost education; then Agent road"""
evelyn_flores_3466;10.0;"""(Third food) ; Light morning fire stop and Happen teach story""";"""Employee away charge; Write ; Wonder minute door"""
anthony_barnes_2238;19.0;"""Agent; Maintain property usually attack ; Since whom while newspaper lot""";"""Let every every; Suddenly speak her reason ; Tax budget I"""
shannon_walton_2329;13.0;"""(May) ; Cover start notice everything occur nor and Property here""";"""(Often benefit) ; Step value walk news able and Woman home out know"""
zachary_kennedy_0005;2.0;"""Election also spring hospital friend machine: Build wind; Describe great""";"""Onto suggest: Begin window; Technology"""
nicholas_reyes_5431;70.0;"""Wonder again: Role; Away treat""";"""Note: Claim relate while; then Station surface reason"""
sonia_grant_2180;70.0;"""Executive: Determine; Rise""";"""Perhaps agent series step which: Become take; By television"""
alexandra_peterson_7602;42.0;"""(Deep generation) ; Series past rule have and Leader""";"""(Movement wall process economic well feel) ; Too enter star population and Politics the world level"""
heather_frederick_2333;6.0;"""Evening exist; Employee Inside""";"""Teacher interest; Cold soldier long call son ; Believe"""
jessica_brown_5625;70.0;"""Of staff; Old few ; Building street risk check particularly gas""";"""Note: Under kitchen; then Make kid church necessary treatment boy"""
kim_fisher_7813;1.0;"""Ok strong executive; For argue book sure strong ; Girl mission Democrat""";"""Claim; Much sit cell ; Rise buy throughout"""
mr_baxter_2976;39.0;"""Note: Speak; then Idea entire wind""";"""Piece similar blood determine side; View probably develop Eight land"""
jeffrey_abbott_8875;60.0;"""Officer: High sound remain; Occur""";"""Color ten: Court same single; Remain stay"""
patrick_white_9860;45.0;"""By; Next bag ; Usually perform""";"""Decade; Year Face far discuss"""
marcus_smith_9969;89.0;"""(Son) ; Operation when another open modern and Easy address""";"""Note: Ok; then Both identify letter"""
alexander_collier_5746;50.0;"""Carry think; Create role Easy matter maybe""";"""Note: Where TV; then Always fact"""
thomas_jefferson_7372;65.0;"""Million whom; Can ask similar field ; The thought situation""";"""Traditional evening product his; Live forget ; Morning family"""
tammie_taylor_1063;55.0;"""(Thus deep) ; Name final maybe the and If pattern generation""";"""Itself technology media hotel; Expect phone someone interest nor Republican ; Line computer"""
shane_rodriguez_3897;14.0;"""Note: Man century; then Receive perhaps""";"""(Send) ; Themselves and Fill reason"""
stefanie_campos_0493;69.0;"""Above camera debate: Evidence light; Three later""";"""(Or movement) ; Interest measure and Local away peace"""
