username;total_count;age;score;review;remark
shirley_ashton_2090;85.0;54.1;36.2;"""Et: Nam atque voluptatibus hic dicta adipisci quam; Tempora beatae nisi""";"""(Placeat pariatur) ; Labore quos iure voluptatem error and Ipsa maxime"""
sharon_brown_0787;6.0;10.1;67.2;"""Note: Assumenda expedita nostrum; then Nulla ex eius""";"""(Doloribus ducimus ad cumque soluta) ; Dolore temporibus adipisci animi excepturi unde and Vero"""
dr_gibbs_9801;11.0;39.1;13.2;"""Note: Earum ut possimus fugit consequatur; then Odit laborum ipsum""";"""Facere assumenda quo tempore laudantium similique; Fuga earum officia ; Cum in"""
mr_watkins_9503;67.0;4.1;;"""Voluptatum eveniet aliquid; Laborum temporibus ex Non minus sequi deleniti""";"""Officiis; Illum nulla deserunt Accusamus"""
mr_wilson_5623;7.0;66.1;52.2;"""Corporis adipisci: Dignissimos iure doloremque ipsam dicta; Expedita""";"""Note: Consectetur tempore numquam consectetur dolorum; then Labore vel"""
hayley_little_3260;47.0;33.1;80.2;"""(Fugit laboriosam aut asperiores quos) ; Culpa rem quibusdam illo and Ducimus voluptas veritatis""";"""(Veniam quo natus non) ; Porro quo and Dolor cumque sed sunt"""
vanessa_cooper_3363;87.0;80.1;8.2;"""Officiis quibusdam tempore; Voluptates nesciunt rem Laboriosam voluptas nulla""";"""Note: Tempora corrupti unde labore nostrum fugit; then Dicta"""
ms_clayton_0419;;43.1;45.2;"""Note: Ad omnis totam aliquam; then Quod quisquam""";"""Laborum; Eius consectetur Quibusdam quaerat animi"""
hannah_naylor_4237;36.0;46.1;25.2;"""Dolores adipisci; Numquam id Magni vero""";"""Aperiam cupiditate id: Animi voluptatum; Cupiditate eum aliquam"""
dr_simmons_2460;83.0;48.1;35.2;"""Facilis: Ullam ea eum molestias; Cupiditate vitae""";"""Cupiditate laudantium alias officia non; Sint sit omnis ; Quisquam sapiente ipsam quas corrupti"""
lindsey_begum_9771;55.0;45.1;46.2;"""Note: Perspiciatis; then Illo a expedita ex nostrum soluta""";"""Odit laboriosam doloremque omnis facere assumenda: Assumenda; Animi quod aliquam nihil"""
