username;price;comment;summary
victoria_dodd_0249;44.0;"""(Praesentium facilis quae suscipit) ; Rem fugit animi perspiciatis laborum vero and Eius aliquid similique ipsa""";"""Deserunt quas: Quasi repellat incidunt quos; Iusto omnis praesentium"""
jade_nicholls_6659;40.0;"""(Explicabo ea repudiandae dignissimos) ; Maxime repellendus amet non and Veritatis ipsam blanditiis""";"""Suscipit dicta cupiditate vero: Molestias dignissimos officia; Nulla distinctio voluptate"""
dr_bates_4892;;"""Placeat repellat accusantium; Dolores veritatis ; Quam aspernatur deleniti explicabo""";"""Tempore omnis quae soluta minima; Eos cumque doloribus ; Consectetur perferendis"""
francis_jackson_1096;65.0;"""(Eaque facere) ; Quisquam and Blanditiis veritatis quibusdam""";"""Illum dicta debitis: Odio magnam quisquam; Temporibus error molestiae dolor magni"""
fiona_robinson_0224;98.0;"""(Sed sequi laboriosam) ; Autem aliquam error and Vitae deserunt qui""";"""Aspernatur nam: Nobis; Voluptatum repellendus iure praesentium numquam"""
simon_chapman_7871;67.0;"""Aliquid: Sint; Magnam quae""";"""Fugit minus; Nihil eveniet ; Dignissimos explicabo voluptatum"""
leanne_davis_3549;50.0;"""Dignissimos consequuntur est; Atque Quod ducimus ipsam""";"""(Voluptate laboriosam dolorem) ; Aliquid consectetur and Accusamus quod"""
miss_tyler_6965;31.0;"""Note: Animi repudiandae; then Sequi""";"""Eligendi unde recusandae; Nesciunt ; Eaque aspernatur nobis"""
lesley_freeman_8873;63.0;"""Aspernatur ratione architecto; Occaecati repudiandae fuga dolores modi Harum corrupti""";"""Repellat aliquid voluptatibus quidem a: Qui non; Officia ipsam adipisci"""
brett_franklin_3528;50.0;"""Incidunt aperiam: Facere nulla aliquid ut explicabo vitae; Dolores iure error quae voluptates""";"""Vel autem exercitationem quae vitae doloremque; Expedita sunt nesciunt quaerat ; Veniam temporibus incidunt"""
jason_baldwin_2532;59.0;"""Dicta praesentium; Unde facere Minima voluptatum""";"""Ratione aliquam; Quasi enim a porro Officia"""
barry_carpenter_8248;62.0;"""Iusto itaque atque ab assumenda; Culpa tenetur nulla voluptas Quia""";"""Ducimus eius veniam; Cumque nostrum ab quidem cum itaque Adipisci ab laudantium"""
bruce_davey_2928;53.0;"""Ex possimus tenetur ut: Inventore facilis doloremque nesciunt; Culpa voluptatem aperiam placeat eos iusto dicta""";"""Modi perferendis nam perspiciatis nobis: Libero temporibus laudantium natus; Error voluptatem ipsum nulla a saepe"""
