username	age	score	price	note	remark
kevin_james_9099	52.0	8.1	48.2	"""Voluptas dignissimos odio: Ab occaecati	 Officia non illo"""	"""Note: Tempora	 then Quas"""
abbie_oliver_7597	92.0	57.1	73.2	"""Aliquam libero officiis: Dolor ducimus dolore illum	 Id"""	"""Note: Sapiente placeat	 then Rem ipsum"""
patrick_wilson_1887	17.0	99.1	21.2	"""Similique quia suscipit porro; Dolore 	 Molestiae"""	"""(Delectus accusantium iure doloribus blanditiis) 	 Deserunt modi ab rem and Quo quis modi molestias tempora"""
holly_field_1464	90.0	36.1	45.2	"""(Ratione dolor sint) 	 Sint incidunt architecto and Reiciendis"""	"""Hic quaerat soluta; Sed nam nobis autem et sapiente 	 Molestiae explicabo consectetur itaque voluptates voluptatem"""
anne_stevenson_0654	49.0	99.1	46.2	"""Rem: Quod ex veniam repudiandae	 Praesentium explicabo"""	"""Note: Rem aperiam	 then Vel ducimus"""
mrs_cook_2113	38.0	74.1	73.2	"""Occaecati voluptate: Fugiat nulla odit	 Itaque nisi"""	"""At alias vel dignissimos consequatur cupiditate	 Occaecati pariatur officiis Magni occaecati quo"""
julie_richardson_7258	26.0	10.1	44.2	"""Aliquam eos asperiores: Ad	 Minima animi"""	"""Eaque cupiditate cupiditate: Vero unde	 Occaecati laborum laborum"""
diana_leach_4040	83.0	6.1	34.2	"""Ratione nobis sit cumque voluptatem suscipit	 Porro minima Aliquid nihil eos ab voluptates"""	"""Note: Reprehenderit laboriosam	 then Repellendus reiciendis"""
lorraine_smith_4144	59.0		78.2	"""Voluptatibus at itaque quibusdam: Alias fugit	 Similique qui voluptatem"""	"""Nesciunt: Perspiciatis perspiciatis	 Vitae repellat assumenda laborum ipsa"""
adrian_owen_1163	81.0	21.1	35.2	"""Ea; Velit 	 Nesciunt porro"""	"""(Neque iure doloribus tempore incidunt vitae) 	 Officiis velit dolor neque and Occaecati id adipisci"""
mr_watts_3302	37.0	94.1	54.2	"""Note: Ipsa	 then Quae voluptates officia"""	"""In sed quibusdam aperiam: Id autem facilis a	 Esse quasi esse"""
elliot_patel_6667	77.0	19.1	37.2	"""Ullam nulla ipsam unde labore: Cum autem autem eum modi	 Aut ratione similique libero excepturi"""	"""Deserunt deleniti mollitia voluptates: Mollitia	 Libero inventore quo"""
jack_curtis_2524	17.0	35.1	77.2	"""Expedita commodi blanditiis aliquam esse: Perferendis	 Culpa voluptates corporis"""	"""(Fuga ipsam) 	 Sapiente and Totam"""
diane_holden_3046	34.0	7.1	75.2	"""Note: Voluptatum saepe	 then Ducimus quaerat"""	"""In perspiciatis excepturi: Natus aliquam asperiores ad	 Minima"""
elliott_day_1383	44.0	4.1	45.2	"""Magni nobis id ratione est fugit: Ut accusamus ratione	 Vero esse quia in"""	"""Note: Quod ullam	 then Fugiat officia omnis"""
jack_ryan_6036	24.0	78.1	62.2	"""Adipisci fugiat dignissimos architecto	 Reiciendis porro Commodi doloribus"""	"""(Quo enim) 	 Dolores and Mollitia sequi at totam"""
sheila_carey_4156	65.0	77.1	99.2	"""Neque: Inventore nesciunt consequuntur magnam saepe	 Repellat laboriosam dicta recusandae labore"""	"""(Quisquam repellat deserunt provident) 	 Sapiente nulla and Dicta repudiandae tenetur iure minima"""
simon_dunn_1837	20.0	68.1	29.2	"""Illo necessitatibus repudiandae; Corporis optio numquam et 	 Cum suscipit"""	"""Note: Veritatis modi a reprehenderit sit	 then Accusantium consequatur"""
mandy_collins_6303	82.0	96.1	15.2	"""Note: Sint	 then Magni magni"""	"""Eaque	 Ab nihil maiores Rerum repudiandae impedit"""
conor_ball_8141	39.0	23.1	38.2	"""Laborum	 Beatae quia Ipsa nemo dolorum autem"""	"""Qui possimus quam reprehenderit; Odio dolore 	 In deserunt sequi"""
pauline_owens_9320	21.0	21.1	44.2	"""(Maxime modi) 	 In nisi expedita dolor and Repudiandae quaerat"""	"""Note: Voluptatum	 then Exercitationem"""
mr_gibbons_5626	25.0	64.1	91.2	"""(Quo) 	 Temporibus and Voluptas in"""	"""Note: Dolorem enim accusantium aliquid	 then Doloremque consectetur"""
aimee_williams_2641	71.0	39.1	45.2	"""Note: Dolorum eligendi	 then Architecto"""	"""Maiores magni rerum illum nobis	 Aspernatur exercitationem voluptatum quibusdam vero consequatur Maxime velit"""
jack_chapman_6107	48.0	15.1	41.2	"""Note: Eum asperiores nam sunt	 then Eius recusandae aspernatur libero"""	"""Vitae natus quod: Voluptatum quibusdam ab dolor	 Expedita unde voluptatem animi nostrum"""
martyn_brien_7193	25.0	21.1	98.2	"""Maiores sapiente debitis ratione dolore molestiae; Perspiciatis modi earum 	 Modi"""	"""Perspiciatis: Mollitia quis commodi numquam	 Nostrum vel numquam"""
