username,total_count,summary,description
teresa_gallagher_1673,41.0,"""(Error sapiente explicabo repellendus) , Ab mollitia id magnam and Officia consequuntur explicabo""","""(Iusto minus a) , Provident veniam deleniti praesentium and Modi exercitationem nihil"""
charlie_parker_5560,35.0,"""Note: Est et non molestias, then Excepturi porro facere""","""Provident: Quo asperiores, Reiciendis"""
judith_hughes_9622,55.0,"""Similique sit error suscipit quas saepe: Repellendus quasi, Est tempora ipsam nam possimus quis""","""At vel quas neque beatae, Ipsam perspiciatis iusto rem Facere"""
jean_williamson_4203,92.0,"""Note: Distinctio voluptates sequi, then Provident ut nobis""","""Blanditiis harum; Explicabo , Corrupti laudantium maxime"""
emma_morton_5209,47.0,"""Odit quos dignissimos: Inventore temporibus, Odio hic praesentium""","""Quis: Consequatur, Recusandae temporibus culpa"""
ms_gill_7757,47.0,"""(Odit incidunt qui) , Aliquam odit nostrum facere and Esse""","""Impedit odio quo esse; Fugiat , Esse consequuntur nulla"""
sarah_franklin_8786,30.0,"""(Quidem) , Exercitationem excepturi quasi officia dolore and Quo accusamus""","""Error cupiditate accusantium voluptate; Numquam laboriosam tempora ut veritatis , Ut nobis quia"""
dr_power_5304,77.0,"""Voluptatum minus rerum itaque; Error consectetur , Repudiandae a quo facere""","""Eaque assumenda: Minima ducimus doloribus iste, Nisi laudantium"""
megan_spencer_5397,38.0,"""Dolore accusamus; Ullam sunt , Quasi reiciendis quisquam""","""(Distinctio distinctio) , Atque error enim esse cum and Repudiandae tenetur veniam soluta"""
barbara_day_4336,3.0,"""Note: Quisquam, then Sint""","""Quis excepturi, Perspiciatis cupiditate corrupti Excepturi ipsam"""
declan_king_8678,81.0,"""Maiores architecto placeat fugiat: Debitis pariatur, Nostrum""","""(Blanditiis iusto) , Labore dolor quidem dignissimos and Quam eaque nisi minima"""
valerie_mason_6536,97.0,"""Note: Velit aperiam sapiente voluptate, then Ducimus eos""","""Unde; Repellendus explicabo , Animi recusandae laborum"""
philip_neill_3936,82.0,"""(Nesciunt vero tempora vitae odit) , Accusantium consequatur and Asperiores officia eius""","""(Libero) , Vitae qui quasi corporis atque veritatis and Ratione"""
dylan_smith_7788,14.0,"""Itaque nostrum; Itaque dolores fuga , Occaecati sint""","""(Maiores quisquam fugiat sint) , Est nulla unde and Excepturi"""
alice_taylor_2867,30.0,"""Tempora culpa; Modi similique itaque reprehenderit laboriosam , Dignissimos eaque praesentium""","""Praesentium dolorem sit autem praesentium; Illum saepe , Doloribus inventore"""
