# This is a comment line to skip
username	total_count	message	comment
johnathan_delacruz_2297	83.0	"""Material everybody provide; Accept game 	 Clear increase watch sort"""	"""Drop; Community better experience nice world 	 Necessary country everybody find game"""
clayton_bernard_5720	68.0	"""Agent real	 If beat well Wonder"""	"""Three: Street	 Great human"""
joel_owens_6453	3.0	"""Week reason same to magazine: Quickly my him study it teach	 Group"""	"""Purpose international organization charge subject	 Finish Learn friend"""
jon_burns_4843	58.0	"""Lay	 By personal member Sort there physical fund view"""	"""Note: Plant sea experience	 then Authority specific your safe"""
vanessa_kennedy_0877	84.0	"""Deal whether fill operation system: Lose against economic anyone	 Them force leader"""	"""Note: Bring development	 then From election skin"""
johnny_hill_2761	12.0	"""Should: Traditional imagine	 Cause medical whatever"""	"""Down party cold partner; Growth thousand 	 Technology improve"""
jessica_hughes_1518	5.0	"""(Inside success but son president heavy) 	 Trip feeling and Happen gun build parent from"""	"""Contain book: Detail just southern	 Attorney least movement"""
chelsea_campbell_6299	71.0	"""Note: Suffer	 then She term close firm"""	"""Vote contain: Statement catch	 Scene leg"""
mary_lowe_7536		"""Executive yet; Affect board 	 Benefit"""	"""Several attention	 Evidence film Pick letter"""
andrew_maxwell_8419	68.0	"""Tonight; Really 	 Reach say present leader yet while"""	"""Around; System truth 	 Dark"""
gregory_jr_4066	43.0	"""Admit decision; Detail agency who 	 Toward inside ball candidate"""	"""Full outside its; All decision protect 	 Response beautiful benefit entire listen"""
dustin_harris_3442	60.0	"""Worker movie positive	 Single girl Sea factor"""	"""(Week son practice) 	 Into room within officer and Chair much use"""
sarah_brown_9175	24.0	"""Senior: Education sound when majority business	 Guess memory either apply care"""	"""Level support write	 Response tend pick husband Charge"""
william_henry_8615	32.0	"""Note: Feeling style	 then Their letter another stock"""	"""Lead	 Edge Nor"""
timothy_bruce_6781	38.0	"""(Vote although) 	 Mrs real television event oil look and Here tough director"""	"""Friend identify; Teach some officer suffer ground 	 Business identify"""
cathy_taylor_6346	98.0	"""Rule measure: Follow event goal	 Idea draw"""	"""Size page light into	 Other beat cultural small Thousand team director significant star everyone"""
matthew_lewis_5705	16.0	"""(Build TV) 	 Individual physical rest and Field"""	"""Ahead	 Hotel friend treat me build Traditional to suggest owner head"""
timothy_johnson_5026	20.0	"""(Cold kitchen car) 	 Exactly thus social and Information begin song think"""	"""Attack enough medical issue risk trial; Blood college 	 Else once"""
heather_thompson_2902	96.0	"""(Together member) 	 Act and Should investment alone story"""	"""Note: Knowledge	 then Newspaper author"""
ryan_conner_1877	61.0	"""(Truth) 	 Miss number sound and Design practice exactly never bank"""	"""Note: Research plan as	 then Visit"""
raymond_flores_1314	72.0	"""Risk: Either factor speech ball	 Environment"""	"""Scientist spend always: Rich office	 Feel seem section"""
jacob_evans_0607	25.0	"""Note: Whose special before by performance arm	 then Role maintain world down"""	"""Note: Front standard process business	 then Source again particularly see history surface"""
nancy_hansen_9042	61.0	"""Need experience: Food add interesting	 Relate range get"""	"""Few thousand professor: I responsibility concern	 Ever"""
ashley_rogers_0231	74.0	"""Door student; Strategy stock 	 Fine"""	"""Note: Avoid decide	 then Common"""
