username;total_count;rating;message;summary
damien_riley_0068;85.0;34.1;"""(Similique) ; Incidunt nulla mollitia dolore and Reprehenderit facilis aperiam""";"""Consequatur magnam occaecati saepe molestias; Aperiam repellat unde ; Illum mollitia commodi ipsum"""
danielle_dawson_5143;66.0;48.1;"""Note: Consequatur quibusdam labore beatae; then Non facere maiores labore porro impedit""";"""(Distinctio suscipit) ; Est occaecati recusandae and Fugiat magnam voluptate fuga sunt"""
aimee_green_9548;67.0;35.1;"""Esse at natus; Nulla voluptate Ullam distinctio provident""";"""Ea; Nihil quibusdam Libero incidunt impedit"""
elliott_smith_5810;27.0;15.1;"""Note: Perferendis hic; then Voluptatum iure omnis dolor voluptatem quisquam""";"""Odit non earum quibusdam modi; Sunt nam repellat ; Accusamus nemo ipsa nemo"""
mr_parry_6019;84.0;72.1;"""Omnis blanditiis: Qui numquam voluptas ipsam; Veniam perspiciatis sit quas""";"""(Aspernatur cumque laborum) ; Nihil totam et quasi and Molestiae a"""
mr_cooper_7262;75.0;42.1;"""Deserunt magnam; Voluptatibus facilis quibusdam minus dolore alias laboriosam Inventore tenetur""";"""(Molestias voluptatibus nobis voluptates asperiores soluta) ; Beatae sequi repudiandae odio laboriosam and Aut modi"""
dr_ali_2071;76.0;41.1;"""Veritatis ad assumenda tempora: Delectus; Soluta""";"""Rerum; Sequi officiis perspiciatis ; Cumque"""
dr_wood_9642;78.0;97.1;"""Note: Doloremque deserunt; then Cum voluptas""";"""Ipsam minima; Exercitationem sint odit Magni minus nulla mollitia delectus a"""
ms_shaw_2541;58.0;18.1;"""Architecto culpa; Libero illum suscipit Distinctio""";"""Quae voluptatibus dolorum; Quaerat autem aspernatur quisquam nihil Molestias doloribus"""
dr_skinner_6937;15.0;10.1;"""Amet sequi: Quia; Provident quod accusantium ad quibusdam""";"""Quo alias; Voluptate architecto Ab ipsa velit deserunt"""
geoffrey_grant_9468;23.0;35.1;"""Quis officiis; Autem Quidem fugiat consectetur""";"""Note: Molestias esse; then Commodi expedita"""
charlene_smith_5534;71.0;93.1;"""Note: Tempore asperiores; then Fugiat maiores suscipit""";"""Odit minus numquam fugiat est: Dolorum eos possimus; Illum"""
george_pearce_1902;75.0;54.1;"""Rerum minus; Voluptatem reprehenderit explicabo Unde perspiciatis in expedita""";"""Excepturi cumque laudantium quasi: Sequi et; Repellendus quia soluta"""
steven_mcdonald_2758;48.0;1.1;"""(Pariatur porro soluta) ; Optio reprehenderit quas and Mollitia voluptates ipsam itaque""";"""(Ipsa) ; Nihil iste and Dolorem quam"""
dr_patel_4755;71.0;24.1;"""Voluptas deserunt; Neque optio Laborum""";"""Note: Eligendi; then Repudiandae"""
