username;age;salary;total_count;summary;comment
alexandria_alexander_6705;23.0;3.1;22.2;"""Note: Page officer structure; then Decide lay""";"""Western bar new; Value together Our"""
alicia_edwards_6750;60.0;14.1;12.2;"""Such evidence; Traditional Star per imagine""";"""Ask whom fill purpose white may; Wonder how southern page ; Financial base hotel suggest"""
mackenzie_phelps_4655;13.0;43.1;28.2;"""Note: Special do; then Republican""";"""Note: Stage; then Discussion subject American need book"""
brian_barnett_2966;90.0;25.1;5.2;"""Note: Lay TV; then Program ready recent""";"""(Strategy face year) ; Imagine allow and Run dream indicate"""
colton_phillips_2860;76.0;70.1;1.2;"""Top sound could; Sign take show ; Open year""";"""Statement; Decide sort table begin road ; Never oil"""
francis_yates_1215;87.0;13.1;58.2;"""Note: Car study; then Course him""";"""Note: Happy; then Anyone base culture base"""
kari_garcia_3318;13.0;95.1;14.2;"""Language benefit case; Inside fund skill ; Vote affect raise""";"""Very daughter pretty hotel shake risk; One either voice firm ; Break box word risk tough decision"""
maria_williams_1116;20.0;12.1;99.2;"""Note: School; then Radio street total""";"""Feel oil; Later from whether ; Way view listen determine"""
julie_lopez_1820;11.0;86.1;81.2;"""(Present month deep) ; Blue simple look and Want with camera prepare give""";"""Note: Whatever job group spend any; then Cause past"""
bradley_howell_9464;21.0;77.1;28.2;"""(Into pressure) ; Fill spring staff someone and Which too easy""";"""Door media husband create maintain consumer: Worker find father; Performance generation weight pattern tonight"""
dustin_fry_5629;75.0;92.1;36.2;"""(Draw stop analysis reveal) ; Feel could and Hot third clearly""";"""Place year shoulder fly personal; Watch build Term side budget"""
kevin_butler_6182;57.0;98.1;;"""Service here here role early; Here interview ; Then""";"""Another those outside check; Carry determine bed Suffer"""
philip_miller_3543;94.0;19.1;16.2;"""Model summer far us me short: Political modern; Send chair""";"""(Hot right security leg) ; Usually sport candidate anything and Step half man"""
kimberly_soto_7097;;90.1;21.2;"""(One else home) ; State and Color""";"""Not speak lose chance husband themselves: Order remember history; Wind"""
tracey_wallace_2125;18.0;57.1;100.2;"""Note: Industry clear improve; then Head personal along main""";"""Note: Drug husband structure; then Want teach office"""
steven_ford_1988;81.0;100.1;87.2;"""(Collection step interesting) ; Summer mention idea and Interest fight""";"""(Player soon start) ; Understand main foreign and Various area current each effort"""
tara_rivas_0776;78.0;39.1;41.2;"""Sometimes theory director worry; Staff system Wall thank""";"""Fall: Worry generation exist guy hospital; Reduce sister account institution those"""
michael_martinez_6885;56.0;66.1;3.2;"""Activity author increase; Word shoulder walk ; Expect""";"""(Will with ago fight ever) ; Public put whose city and Economic"""
