username;age;score;total_count;description
frederick_manning_9010;47.0;17.1;87.2;"""(At itaque nobis) ; Exercitationem vero iusto and Maxime rem quis eos"""
deborah_chamberlain_1722;8.0;31.1;53.2;"""Accusamus deleniti; Fugit Iure"""
glen_saunders_2492;80.0;35.1;46.2;"""Enim; Nulla mollitia quos ; Consectetur ad"""
derek_grant_7335;82.0;24.1;16.2;"""(Impedit) ; Vel tenetur nulla and Vel vel"""
dr_pollard_2049;17.0;16.1;93.2;"""Corrupti similique; Quas exercitationem cum sapiente ; Maxime maxime porro minima iste"""
paula_cole_8236;4.0;11.1;51.2;"""Quas in: Dolorem reprehenderit cumque; Reiciendis"""
iain_faulkner_3311;;9.1;65.2;"""Note: Temporibus quaerat facilis; then Perspiciatis est"""
carole_birch_9460;4.0;49.1;21.2;"""At: Qui id optio non; Rerum temporibus nesciunt non"""
valerie_davis_1225;43.0;80.1;35.2;"""Note: Alias fuga; then Et odio amet"""
ms_hewitt_3446;70.0;2.1;77.2;"""(Sint similique vero) ; Culpa modi and Doloribus"""
mr_matthews_8349;2.0;100.1;13.2;"""Note: Officiis; then Fugit"""
katy_connor_0489;56.0;37.1;15.2;"""Note: Occaecati praesentium suscipit ipsam; then Nesciunt"""
liam_jones_9807;89.0;52.1;41.2;"""Voluptate nostrum eligendi explicabo pariatur quam; Nesciunt ut pariatur ; Doloremque cupiditate nesciunt natus"""
ms_green_8961;69.0;99.1;100.2;"""(Magnam) ; Nemo mollitia facere and Labore sequi asperiores"""
