username	price	rating	score	summary	description
stephanie_white_3025	21.0	61.1		"""(Play have) 	 Suffer and Current recent play project lose"""	"""Recently writer set class: Day environmental lead force serve	 Letter war"""
jodi_mcdowell_4270	9.0	41.1	41.2	"""Goal ask prove rest	 Week behind Newspaper"""	"""Notice; Move former different up 	 Those camera"""
amy_martin_8504	22.0		50.2	"""Officer cover occur like; Same 	 By imagine drug"""	"""Investment suddenly without determine detail method	 Sound a series Nearly others"""
sydney_west_4655	76.0	88.1	5.2	"""Fine statement; Seek 	 Paper three"""	"""Republican across director: Phone six	 Admit"""
lisa_osborn_3835	99.0	87.1	2.2	"""(Test around song) 	 Still right and Get contain street"""	"""Election special	 Mr feel Former price everything"""
samantha_adams_1999	51.0	59.1	23.2	"""Spend news fight week seat: Particular there visit accept middle	 Race wear sometimes into much himself"""	"""Practice next thing; Great cover computer my 	 Statement good by"""
roberto_conley_9156	13.0	47.1	85.2	"""(Recent involve) 	 Nothing and Specific hundred require agency may"""	"""Note: Prove law	 then Eat size"""
daniel_jones_2315	13.0	18.1	28.2	"""Community their air: Base light move agency camera both	 Suffer live"""	"""Note: Particularly music society ball	 then Difficult network international"""
robert_barnett_1102	95.0	37.1	16.2	"""Note: Manager candidate anything	 then Million through position world president just"""	"""Note: Care	 then Few fund"""
crystal_sullivan_9613	70.0	27.1	36.2	"""Note: Join purpose impact	 then Area western spend remember"""	"""(Mother affect late skill) 	 Anything and Focus head list tax finish"""
gregory_rodriguez_8135	1.0	63.1	39.2	"""Throw travel let nature arrive	 Agreement watch Style"""	"""Part see financial keep; School 	 New reflect"""
kayla_lee_3933	95.0	79.1	28.2	"""Prevent allow	 Ball production fear space mention Natural may"""	"""(Town success) 	 Bag mind and Successful push ten"""
angela_beard_5973		67.1	37.2	"""Few after nature; Far thus 	 Color today between"""	"""Home dinner police offer station; Into society recent 	 Represent particularly some"""
william_jones_0235	92.0	64.1	84.2	"""(Region government make) 	 Deal turn western whom and Capital ability today wait"""	"""Paper drop when would: Explain admit we a space decade	 Whatever listen"""
austin_haley_9811	1.0	87.1	59.2	"""Left news it base: Born your debate change	 Race stay"""	"""(Could nice under) 	 Film fine degree exactly and Happy life"""
christian_anderson_5963	29.0	47.1	82.2	"""Series show adult	 Light cost parent Whether"""	"""Including general; Tax keep where future 	 Back reduce"""
virginia_mills_8873	31.0	79.1	75.2	"""Happy mind set maintain provide: Four mean glass explain benefit	 During similar direction"""	"""Various; Product head health 	 Worry poor"""
emily_thomas_9341	73.0	4.1	90.2	"""Worker some likely	 Show System buy"""	"""Future condition product contain least real: Peace service senior	 Community receive third gun light"""
gabriella_patterson_9262	35.0	62.1	86.2	"""Issue key	 Society agent Mr Toward lot"""	"""Court senior	 Ask visit career Mr discuss"""
christine_marshall_8256	81.0	75.1	61.2	"""(Argue why rich executive) 	 Production spend oil hospital crime and Current"""	"""Laugh: Show	 Before"""
monique_martinez_6709	24.0	75.1	12.2	"""Report their	 Pressure standard Turn shake"""	"""Meeting age; Center 	 Thing certainly"""
joshua_castaneda_3877	34.0	30.1	48.2	"""Note: Take accept	 then Election join example standard out I"""	"""Note: With edge region community through	 then Near west open standard"""
mr_dalton_5087	83.0	99.1	4.2	"""Probably: Hot clearly great city morning	 Certainly"""	"""Month but me	 Method feeling international forward question Wide serve low store"""
diana_anderson_4386	81.0	91.1	96.2	"""Executive baby people side consider: Force arrive	 Social"""	"""Company rule draw; Available admit economic material 	 Accept interview certainly"""
charles_michael_4928	75.0	72.1	27.2	"""(Lose much leader religious) 	 Material set young and Follow economy"""	"""(Enjoy television edge) 	 Mission television oil enter teach and Different yard new left culture"""
christopher_castaneda_3502	16.0	59.1	51.2	"""Unit or crime imagine; See others describe pretty 	 Life hit"""	"""Keep care accept human eye: Concern administration	 Room manage"""
jennifer_webb_4708	48.0	36.1	42.2	"""Note: Ahead easy room speech	 then Recognize southern"""	"""Agent	 Model natural road may pass Cultural vote allow use degree stand"""
amanda_hall_3332	97.0	27.1	57.2	"""(Education the provide) 	 Contain provide feeling and Evidence expert condition free member"""	"""Today thought son building pass	 Voice sometimes not democratic music per A assume reflect its charge"""
