# This is a comment line to skip
username	rating	price	age	summary	remark
matthew_montgomery_7747		1.1	44.2	"""Growth goal PM	 Cover fire agent defense Rich move man make"""	"""(Nor this heavy she) 	 Area check call now ago resource and Dog sense"""
jessica_foster_5906	86.0	68.1	69.2	"""Go instead late finish hear	 Budget actually throughout Doctor worker various much put mind"""	"""Little such	 Bit animal determine Run sign"""
andrew_myers_4894	35.0		99.2	"""Order worker idea face fire; Only husband meeting 	 Perhaps answer"""	"""Medical paper defense	 Candidate break Eye candidate choose suggest"""
paul_jackson_2164	87.0	6.1	51.2	"""Surface strong ground method market seek: Machine remember	 Him"""	"""Miss door bit service both	 Since data wife Common involve"""
robert_lee_7225	84.0	32.1		"""Note: Popular especially most	 then Experience respond"""	"""This wall; Relationship item arm would develop some 	 Lose"""
laura_lopez_0625	44.0	13.1	87.2	"""Floor; Car argue relationship 	 Factor bank"""	"""(Research could decide manager how put) 	 State size and Instead model"""
kelly_swanson_4230	2.0	34.1	32.2	"""Left enough speak; Agency resource everybody population 	 Better guess individual"""	"""Throw moment: Since film character	 Attention kid charge involve"""
tyler_torres_8501	100.0	58.1	55.2	"""(Since community author election Republican) 	 Best everything issue situation and Himself as year couple what"""	"""Note: Provide soldier really	 then Occur"""
john_mckay_7756	38.0	37.1	88.2	"""Draw firm site; Black rich 	 Recently term"""	"""Color; Civil before 	 Front along stock voice go"""
gerald_md_6353	46.0	79.1	63.2	"""Enjoy: Shake really fire these response start	 Out music"""	"""Wrong daughter attack contain; Along employee little top ago 	 Let industry"""
brooke_ritter_6532	43.0	44.1	54.2	"""Note: Behind field	 then Course walk institution call prove"""	"""Certain check heart four simple wind: Serve whose cut region necessary	 Check Congress respond scene"""
john_gray_9417	15.0	96.1	11.2	"""Term while development	 Every remain several contain sister Then"""	"""Avoid animal science matter both yes: Field tree charge	 Test through pass half"""
shawn_ross_9566	30.0	22.1	81.2	"""Maintain win meet my window government: Word agree our bit	 Environment spend best another late reality"""	"""Management activity	 Available language method state address discussion Finish street production first"""
william_adams_2537	24.0	74.1	60.2	"""Behind thus: Difficult reduce part summer	 Follow contain name"""	"""Pretty: Such form group true	 Defense mention operation"""
allison_ware_6937	75.0	90.1	15.2	"""Note: Month lot woman Democrat	 then Everyone accept adult how"""	"""(Through east) 	 Just performance and Pass about"""
bill_ferguson_4186	70.0	23.1	54.2	"""(Able possible) 	 Ready under and Not political thing"""	"""Note: Should floor pay want control	 then Citizen phone conference"""
george_reed_7900	90.0	54.1	73.2	"""(Smile its speech quite size) 	 Itself and Account environmental"""	"""Note: Dream anyone	 then Material fill"""
yesenia_reynolds_4008	66.0	77.1	8.2	"""Vote deal explain; Head reach structure 	 Policy since full upon build"""	"""Note: Cost tonight	 then Set"""
debra_munoz_2513	6.0	88.1	34.2	"""East Democrat; Act dream pull 	 Difference"""	"""House dog clearly: Several wear	 President hard whole town"""
melissa_taylor_1510	96.0	12.1	56.2	"""(Last hope heart) 	 Middle least memory heart money remember and Skill father"""	"""Event network American; Democratic treat 	 Nation instead two to budget"""
joshua_travis_7521	98.0	4.1	16.2	"""What third foot	 Long Avoid majority pretty"""	"""Continue bill whom base source begin: Indeed left turn election attorney site	 Explain bar he experience"""
