# This is a comment line to skip
username	rating	description	comment
michael_jones_7053	4.0	"""Recent study smile skill: View sense let manage	 Blue"""	"""Mean business begin economic agreement stand onto: Peace offer court	 Without act by would particular"""
alexa_morris_3137	36.0	"""Recently those	 Tax Parent send"""	"""Impact class size four better; Hundred by onto majority each 	 Ready"""
tammie_coleman_1014		"""Note: Newspaper	 then Military relate"""	"""Note: Tax	 then Window he heart tree measure Democrat"""
thomas_espinoza_7322	55.0	"""Across bit describe; Behavior family 	 Film situation modern whether economic only staff"""	"""(Cause season) 	 Get ahead participant and Seat table already"""
kevin_sullivan_2198	98.0	"""Note: Participant appear too	 then Per Congress so organization book care"""	"""(Respond step) 	 Cold onto and Wife consider"""
tiffany_clark_5906	81.0	"""(For everybody everyone) 	 Eye score expert floor and Lawyer this"""	"""Authority show; Artist population 	 Trip reality"""
julie_kemp_7256	72.0	"""(Guy condition think) 	 Yard know and We movement Mrs past"""	"""Player check production character; Without month 	 Might baby dog teacher serve"""
angela_jones_8581	18.0	"""Wife win table; Game yourself whose floor 	 Goal rock"""	"""Note: Form edge wrong	 then Executive so"""
meredith_cowan_5515	58.0	"""Note: Soon money never	 then Radio"""	"""Represent third since; Out environment 	 Very level wear audience"""
adam_scott_7565	12.0	"""Live	 Human available newspaper speak music Truth history"""	"""Office Congress; Pass 	 Range"""
alexandria_ray_1301	61.0	"""On dinner table cold	 Subject book other if Young apply"""	"""Note: Recent guess half begin however	 then Minute political fine cup"""
jeffrey_jackson_2173	34.0	"""Make risk yard color risk: Give	 Someone"""	"""Discover after: Western	 Woman president"""
michael_brown_1924	97.0	"""Note: Hope draw rock game	 then Million least almost"""	"""Whole plant growth; Night 	 Science part"""
matthew_armstrong_9358	11.0	"""Food move free house son	 I Treat within few"""	"""Imagine image personal wait four; Them although 	 Production"""
roy_rivera_2317	54.0	"""(Oil recognize) 	 Affect rate development everybody billion and Hour remember"""	"""World order: State rather	 System own"""
jenna_hoffman_7569	93.0	"""(Team compare condition) 	 Break thousand mouth and Teach instead high"""	"""Mention check and forget store; Degree respond travel 	 Must guess mouth role"""
patrick_sullivan_2802	60.0	"""Note: Whom her whether approach	 then Reveal why can"""	"""Him pick bank	 Well operation night wife room Town discover condition"""
james_mendoza_0909	78.0	"""Exist	 Tree wife Ten property"""	"""Item item young common develop mention: Woman such raise	 Treat create despite"""
rebekah_wise_5219	50.0	"""Note: Modern treat anyone	 then Foreign responsibility party deal through"""	"""Dark water	 Thank president visit Perform second cut fine dark"""
joshua_campbell_7571	3.0	"""Again letter; Election response 	 Body newspaper girl car glass computer"""	"""(Set) 	 Bad point evidence reason want and Draw job Democrat"""
maria_benitez_2415	45.0	"""Whole ever president television magazine respond; Range need already body leg 	 Reflect figure history such along"""	"""Within word: Agent	 Those ground cultural"""
mark_johnson_1732	62.0	"""Without similar to decade five: Strategy local	 Worker brother before individual"""	"""By; Treat item area leg push 	 Almost kitchen senior give enjoy"""
christine_mitchell_5713	97.0	"""Event billion: One nor inside arrive dinner	 Great push air vote clear"""	"""Whom person best speech	 Serious modern address gun Week"""
jeff_ellis_3948	68.0	"""Will home according anyone put: Else impact	 Civil drop nation scientist nor"""	"""Note: Exactly attack	 then Left minute no project"""
christopher_md_6202	5.0	"""Option ahead; Time see president cell 	 Way company moment audience process first"""	"""Note: Against agency	 then Bank may call"""
joshua_hampton_2261	78.0	"""Note: Paper actually let ever	 then Enough operation child"""	"""Note: Federal how	 then Identify wide"""
beth_davis_2699	19.0	"""Challenge half: Hope themselves explain	 Ten individual discussion good"""	"""Artist program election budget; Sea wide 	 Possible participant clearly"""
sarah_zimmerman_6254	54.0	"""Note: Seat air	 then Spend"""	"""New investment your: Great song	 Think mouth"""
jessica_allen_7760	2.0	"""Home ever or: Trouble believe decision	 Whose Democrat measure recent"""	"""(Voice outside treatment) 	 Movie and Character plan himself responsibility notice"""
adam_rosales_1492	12.0	"""Fine daughter: Politics husband available participant whether Congress	 Chair major executive"""	"""Note: Attorney certainly possible	 then Finish treatment night throw remain"""
laurie_mcguire_5837	99.0	"""Certainly health say	 Situation country where Bar difficult hand"""	"""(Rich where Mrs) 	 Doctor letter price and Community skin politics"""
amanda_rhodes_9657	86.0	"""Police Mr speech; Politics upon 	 With similar clearly"""	"""Seek share body receive other prepare; Suddenly and claim lot 	 General financial Democrat"""
